r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean,var,target_var,radius_m,eta,n_steps
6.0,58125.0,5.8125,0.96875,0.96875,0.04945419356226921,0.05283164232969284,0.0033116221893578768,4.717358589172363,6.0125683458100525,2.2388765811920166,0.0001,60000.0
6.0,60000.0,6.0,1.0,1.0,0.0371667817234993,0.0371667817234993,-0.0012134249554947019,4.9316534996032715,6.0625,2.25,0.0001,60000.0
8.0,0.0,0.0,0.0,0.0,0.0025931857526302338,1.292888879776001,-0.0002576704428065568,0.9992316961288452,1.0043912588251316,0.06626657396554947,0.0001,80000.0
8.0,2500.0,0.25,0.03125,0.03125,0.0031673330813646317,1.294358491897583,-0.0025836217682808638,0.9980280995368958,1.006755308696527,0.08219068497419357,0.0001,80000.0
8.0,5000.0,0.5,0.0625,0.0625,0.0026145773008465767,1.2863060235977173,-0.005480770021677017,1.005382776260376,1.0102519442757745,0.10125188529491425,0.0001,80000.0
8.0,7500.0,0.75,0.09375,0.09375,0.002939583035185933,1.2900867462158203,-0.0031959530897438526,1.001936435699463,1.0153487222751791,0.12388996034860611,0.0001,80000.0
8.0,10000.0,1.0,0.125,0.125,0.0029469975270330906,1.280529260635376,-0.001271198969334364,1.0139979124069214,1.02266953604779,0.1505640596151352,0.0001,80000.0
8.0,12500.0,1.25,0.15625,0.15625,0.0030597439035773277,1.2759506702423096,0.00246008625254035,1.0241024494171143,1.0330307278253505,0.1817435771226883,0.0001,80000.0
8.0,15000.0,1.5,0.1875,0.1875,0.002814477076753974,1.2661634683609009,0.0036473548971116543,1.0335748195648193,1.047478640645027,0.21789593994617462,0.0001,80000.0
8.0,17500.0,1.75,0.21875,0.21875,0.002823685761541128,1.2582099437713623,0.005100698210299015,1.0426651239395142,1.067326065527741,0.25947266817092896,0.0001,80000.0
8.0,20000.0,2.0,0.25,0.25,0.0029973413329571486,1.2440731525421143,0.006606488022953272,1.0610212087631226,1.0941831067508057,0.30689266324043274,0.0001,80000.0
8.0,22500.0,2.25,0.28125,0.28125,0.003502892330288887,1.230309009552002,0.006480548996478319,1.0784887075424194,1.129977317287712,0.36052367091178894,0.0001,80000.0
8.0,25000.0,2.5,0.3125,0.3125,0.0036942337173968554,1.2064285278320312,0.0037409942597150803,1.1067568063735962,1.1769566818735067,0.42066219449043274,0.0001,80000.0
8.0,27500.0,2.75,0.34375,0.34375,0.004567456431686878,1.1776964664459229,0.005777714308351278,1.1458979845046997,1.2376681752508745,0.4875122308731079,0.0001,80000.0
8.0,30000.0,3.0,0.375,0.375,0.005756215192377567,1.1409430503845215,0.006747616454958916,1.191872000694275,1.3149052597050037,0.5611642003059387,0.0001,80000.0
8.0,32500.0,3.25,0.40625,0.40625,0.007272307761013508,1.102907657623291,0.0022672931663691998,1.2458323240280151,1.411617382715633,0.6415741443634033,0.0001,80000.0
8.0,35000.0,3.5,0.4375,0.4375,0.009189018048346043,1.0544359683990479,0.0004709314671345055,1.3140836954116821,1.5307770500831452,0.7285444736480713,0.0001,80000.0
8.0,37500.0,3.75,0.46875,0.46875,0.012591634877026081,0.9985496997833252,0.00018111632380168885,1.3996773958206177,1.675204859605433,0.8217085003852844,0.0001,80000.0
8.0,40000.0,4.0,0.5,0.5,0.014972954988479614,0.9270970821380615,0.0018863589502871037,1.5079971551895142,1.8473517074271655,0.920517086982727,0.0001,80000.0
8.0,42500.0,4.25,0.53125,0.53125,0.02018384262919426,0.8593201637268066,0.0013087874976918101,1.6238257884979248,2.0490507627116727,1.0242317914962769,0.0001,80000.0
8.0,45000.0,4.5,0.5625,0.5625,0.025091858580708504,0.7816710472106934,-0.002323719672858715,1.7672672271728516,2.281250937369819,1.1319235563278198,0.0001,80000.0
8.0,47500.0,4.75,0.59375,0.59375,0.0316949263215065,0.7040415406227112,1.8298949726158753e-05,1.923972487449646,2.5437495392762344,1.2424771785736084,0.0001,80000.0
8.0,50000.0,5.0,0.625,0.625,0.03749380260705948,0.6192595362663269,0.0009761950350366533,2.1113603115081787,2.834948782940046,1.3546028137207031,0.0001,80000.0
8.0,52500.0,5.25,0.65625,0.65625,0.04327353462576866,0.5347205400466919,0.00419163191691041,2.3277804851531982,3.151672128587961,1.46685791015625,0.0001,80000.0
8.0,55000.0,5.5,0.6875,0.6875,0.048215631395578384,0.4519023299217224,0.0012732892064377666,2.5560715198516846,3.4890459452435607,1.5776710510253906,0.0001,80000.0
