r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean_x1,mean_x2,var_x1,var_x2,mean_guidance,eta,n_steps
16.0,40000.0,4.0,0.25,0.25,0.051380835473537445,0.9879928231239319,0.001506963511928916,0.05289030075073242,0.8501387238502502,0.7743996381759644,1.7822200059890747,0.0001,160000.0
16.0,46667.0,4.6667000000000005,0.29166875000000003,0.29166875000000003,0.05176515877246857,0.9675658941268921,-0.004048398230224848,0.06287752836942673,0.8742822408676147,0.7708122134208679,1.783994197845459,0.0001,160000.0
16.0,53333.0,5.3333,0.33333125,0.33333125,0.05343083664774895,0.9424172043800354,-0.000882730062585324,0.06110282987356186,0.9088259339332581,0.7720410823822021,1.7885662317276,0.0001,160000.0
16.0,60000.0,6.0,0.375,0.375,0.054318055510520935,0.8949862122535706,0.0003623724333010614,0.059481848031282425,0.965831458568573,0.7749538421630859,1.795883059501648,0.0001,160000.0
16.0,66667.0,6.6667000000000005,0.41666875000000003,0.41666875000000003,0.056972239166498184,0.8431731462478638,-0.005951289087533951,0.05801008269190788,1.0389991998672485,0.7716922163963318,1.8044743537902832,0.0001,160000.0
16.0,73333.0,7.3333,0.45833125,0.45833125,0.05889458209276199,0.7813231945037842,-0.007424854673445225,0.05692299082875252,1.1277934312820435,0.7819690704345703,1.8166396617889404,0.0001,160000.0
16.0,80000.0,8.0,0.5,0.5,0.06054367870092392,0.7069383263587952,-0.006613369099795818,0.05842849612236023,1.2409453392028809,0.7848697900772095,1.8306574821472168,0.0001,160000.0
16.0,86667.0,8.6667,0.54166875,0.54166875,0.06233343854546547,0.6239568591117859,-0.004337243735790253,0.0587821826338768,1.3849495649337769,0.7826904654502869,1.8475533723831177,0.0001,160000.0
16.0,93333.0,9.333300000000001,0.5833312500000001,0.5833312500000001,0.0663175955414772,0.535446047782898,-0.003418284934014082,0.05838650092482567,1.559453010559082,0.7723425626754761,1.8671045303344727,0.0001,160000.0
16.0,100000.0,10.0,0.625,0.625,0.06734970957040787,0.4403306245803833,2.8876036594738252e-05,0.05711459740996361,1.7761313915252686,0.7730299830436707,1.893426775932312,0.0001,160000.0
16.0,106667.0,10.6667,0.66666875,0.66666875,0.07219201326370239,0.3563796877861023,-0.0008813271997496486,0.06192217022180557,2.0210745334625244,0.7824275493621826,1.9230942726135254,0.0001,160000.0
16.0,113333.0,11.333300000000001,0.7083312500000001,0.7083312500000001,0.07715386152267456,0.2803996205329895,-0.00109643314499408,0.0564560629427433,2.2910776138305664,0.7874478101730347,1.9557386636734009,0.0001,160000.0
16.0,120000.0,12.0,0.75,0.75,0.07851313054561615,0.21401867270469666,-0.00862270500510931,0.0525519959628582,2.5786876678466797,0.7837817072868347,1.9892040491104126,0.0001,160000.0
16.0,126667.0,12.6667,0.79166875,0.79166875,0.08162681013345718,0.16283291578292847,-0.011572315357625484,0.055501047521829605,2.8914525508880615,0.7825109958648682,2.0248830318450928,0.0001,160000.0
16.0,133333.0,13.333300000000001,0.8333312500000001,0.8333312500000001,0.08192021399736404,0.12507741153240204,-0.013062714599072933,0.05349965766072273,3.197427749633789,0.7763533592224121,2.0593421459198,0.0001,160000.0
16.0,140000.0,14.0,0.875,0.875,0.081932932138443,0.10155142098665237,-0.013458103872835636,0.061265263706445694,3.4675278663635254,0.7781116366386414,2.0899758338928223,0.0001,160000.0
16.0,146667.0,14.6667,0.91666875,0.91666875,0.08011995255947113,0.08656182140111923,-0.01261050719767809,0.05588837340474129,3.7314188480377197,0.7880305647850037,2.1216232776641846,0.0001,160000.0
16.0,153333.0,15.333300000000001,0.9583312500000001,0.9583312500000001,0.08002554625272751,0.08120738714933395,-0.012382111512124538,0.05424829572439194,3.929978132247925,0.7856857180595398,2.1436235904693604,0.0001,160000.0
16.0,160000.0,16.0,1.0,1.0,0.08012339472770691,0.08012339472770691,-0.014613058418035507,0.057063713669776917,4.080042362213135,0.7900656461715698,2.1606693267822266,0.0001,160000.0
18.0,0.0,0.0,0.0,0.0,0.08958488702774048,0.8982871770858765,-8.56628394103609e-05,-0.002894688630476594,0.9977625608444214,0.992104709148407,1.835579752922058,0.0001,180000.0
18.0,7500.0,0.75,0.041666666666666664,0.041666666666666664,0.05383121594786644,1.0056178569793701,0.007447988260537386,0.0382964052259922,0.8332600593566895,0.8096276521682739,1.7860915660858154,0.0001,180000.0
18.0,15000.0,1.5,0.08333333333333333,0.08333333333333333,0.05020122602581978,1.0247578620910645,-0.0026547610759735107,0.049946464598178864,0.8097646236419678,0.7775923609733582,1.777848720550537,0.0001,180000.0
18.0,22500.0,2.25,0.125,0.125,0.05139392986893654,1.0234904289245605,0.0022938214242458344,0.054553382098674774,0.8095073699951172,0.7772723436355591,1.7773874998092651,0.0001,180000.0
18.0,30000.0,3.0,0.16666666666666666,0.16666666666666666,0.05097365379333496,1.0079996585845947,0.0015450849896296859,0.0553024485707283,0.828171968460083,0.7766515612602234,1.7795199155807495,0.0001,180000.0
18.0,37500.0,3.75,0.20833333333333334,0.20833333333333334,0.05109357461333275,1.0030425786972046,-0.0015691473381593823,0.05756930634379387,0.8332107067108154,0.7732980251312256,1.7795696258544922,0.0001,180000.0
18.0,45000.0,4.5,0.25,0.25,0.052187785506248474,0.9845418930053711,-0.004279324319213629,0.0574263297021389,0.8543484210968018,0.7692885398864746,1.7815196514129639,0.0001,180000.0
18.0,52500.0,5.25,0.2916666666666667,0.2916666666666667,0.054327256977558136,0.9674895405769348,-0.005591962952166796,0.05859510600566864,0.8805546164512634,0.7790197134017944,1.7860302925109863,0.0001,180000.0
18.0,60000.0,6.0,0.3333333333333333,0.3333333333333333,0.05501937121152878,0.9366178512573242,-0.0007298391428776085,0.05456873029470444,0.9180985689163208,0.7774822115898132,1.7908086776733398,0.0001,180000.0
18.0,67500.0,6.75,0.375,0.375,0.05504045635461807,0.8860445618629456,-0.0011269304668530822,0.057096466422080994,0.9789823293685913,0.7735322713851929,1.7975081205368042,0.0001,180000.0
18.0,75000.0,7.5,0.4166666666666667,0.4166666666666667,0.05676210671663284,0.8385930061340332,0.0005449026357382536,0.05856660380959511,1.044573187828064,0.7719576358795166,1.8051308393478394,0.0001,180000.0
18.0,82500.0,8.25,0.4583333333333333,0.4583333333333333,0.05917496234178543,0.7732841968536377,-0.0012989564565941691,0.06218286603689194,1.1409462690353394,0.7761176824569702,1.8170665502548218,0.0001,180000.0
18.0,90000.0,9.0,0.5,0.5,0.06030316278338432,0.6965818405151367,-0.0010944829555228353,0.06482915580272675,1.2618013620376587,0.7754167318344116,1.8313634395599365,0.0001,180000.0
18.0,97500.0,9.75,0.5416666666666666,0.5416666666666666,0.06332874298095703,0.6138346195220947,0.001697869272902608,0.05677325651049614,1.409582495689392,0.782034158706665,1.8504818677902222,0.0001,180000.0
18.0,105000.0,10.5,0.5833333333333334,0.5833333333333334,0.06519458442926407,0.5256327390670776,0.0010778645519167185,0.05698597431182861,1.5839627981185913,0.7852571606636047,1.8717855215072632,0.0001,180000.0
18.0,112500.0,11.25,0.625,0.625,0.06977853178977966,0.4409829378128052,0.002332281554117799,0.05838839337229729,1.7842813730239868,0.7860510945320129,1.8959002494812012,0.0001,180000.0
18.0,120000.0,12.0,0.6666666666666666,0.6666666666666666,0.07121197879314423,0.3477245271205902,0.00033860435360111296,0.051403190940618515,2.048069953918457,0.7834394574165344,1.9271429777145386,0.0001,180000.0
18.0,127500.0,12.75,0.7083333333333334,0.7083333333333334,0.07560890913009644,0.2727115750312805,-0.005832651164382696,0.054850853979587555,2.3172695636749268,0.7800660729408264,1.9584143161773682,0.0001,180000.0
18.0,135000.0,13.5,0.75,0.75,0.07685619592666626,0.20587888360023499,-0.007890415377914906,0.054876599460840225,2.6240482330322266,0.7823998332023621,1.993966817855835,0.0001,180000.0
18.0,142500.0,14.25,0.7916666666666666,0.7916666666666666,0.0780249536037445,0.1554381549358368,-0.011611945927143097,0.05789230763912201,2.927755832672119,0.7866072058677673,2.029550790786743,0.0001,180000.0
18.0,150000.0,15.0,0.8333333333333334,0.8333333333333334,0.0797688215970993,0.12010479718446732,-0.014295609667897224,0.05797822028398514,3.2380027770996094,0.7869887351989746,2.0653164386749268,0.0001,180000.0
18.0,157500.0,15.75,0.875,0.875,0.07959116995334625,0.09691138565540314,-0.012496084906160831,0.060816194862127304,3.5313100814819336,0.7855191230773926,2.098320484161377,0.0001,180000.0
18.0,165000.0,16.5,0.9166666666666666,0.9166666666666666,0.0803600549697876,0.08586569130420685,-0.015688231214880943,0.05851169675588608,3.7806646823883057,0.788601279258728,2.127032518386841,0.0001,180000.0
18.0,172500.0,17.25,0.9583333333333334,0.9583333333333334,0.07892019301652908,0.07999838888645172,-0.010706884786486626,0.06187988072633743,3.954585313796997,0.7933861017227173,2.146848440170288,0.0001,180000.0
18.0,180000.0,18.0,1.0,1.0,0.08000205457210541,0.08000205457210541,-0.006569367367774248,0.05656152218580246,4.114464282989502,0.7912459373474121,2.164707660675049,0.0001,180000.0
