r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean,var,target_var,radius_m,eta,n_steps
1.0,11.0,0.55,0.55,0.55,0.015251914039254189,0.12149349600076675,-0.0016541481018066406,1.040331244468689,1.2340138756573573,0.4837498068809509,0.05,20.0
1.0,12.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.020062342286109924,0.11731360107660294,-0.001533780014142394,1.0540062189102173,1.3160041805706584,0.5621424913406372,0.05,20.0
1.0,13.0,0.65,0.65,0.65,0.027062859386205673,0.11227641254663467,0.0018400605767965317,1.0726840496063232,1.4121470350924064,0.6419867873191833,0.05,20.0
1.0,14.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.034832656383514404,0.10549267381429672,0.0014983245637267828,1.0971951484680176,1.5191823395444182,0.7205430865287781,0.05,20.0
1.0,15.0,0.75,0.75,0.75,0.04423666000366211,0.09841009974479675,-0.001226512948051095,1.1294312477111816,1.6316783055950168,0.7947819232940674,0.05,20.0
1.0,16.0,0.8,0.8,0.8,0.05268821865320206,0.09053903818130493,-0.0030728739220649004,1.1615880727767944,1.742301325411038,0.8615691065788269,0.05,20.0
1.0,17.0,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.05838829651474953,0.08116066455841064,-0.008680230006575584,1.200260877609253,1.842505661541967,0.9178810715675354,0.05,20.0
1.0,18.0,0.9,0.9,0.9,0.06157231703400612,0.0723041296005249,-0.00976649671792984,1.2417044639587402,1.9235779858357915,0.9610296487808228,0.05,20.0
1.0,19.0,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.06179721653461456,0.06476728618144989,-0.007885890081524849,1.28534734249115,1.9778734742180326,0.9888748526573181,0.05,20.0
1.0,20.0,1.0,1.0,1.0,0.05776139348745346,0.05776139348745346,-0.008054865524172783,1.3294447660446167,2.0,1.0,0.05,20.0
100.0,0.0,0.0,0.0,0.0,0.00719988951459527,0.13120339810848236,-0.005492932163178921,1.0045541524887085,1.000867409211597,0.02945181168615818,0.05,2000.0
100.0,62.0,3.1,0.031,0.031,0.007510177791118622,0.1250084638595581,0.007380006834864616,1.0276554822921753,1.0013298638865324,0.0364672988653183,0.05,2000.0
100.0,125.0,6.25,0.0625,0.0625,0.007593562360852957,0.12468014657497406,0.008522910997271538,1.0277771949768066,1.0020250752634843,0.0450008362531662,0.05,2000.0
100.0,188.0,9.4,0.094,0.094,0.007502010092139244,0.1253020316362381,0.00669077318161726,1.0243685245513916,1.0030414828900727,0.05514964088797569,0.05,2000.0
100.0,250.0,12.5,0.125,0.125,0.007671649567782879,0.12406273931264877,-0.008470151573419571,1.0320496559143066,1.004477933046477,0.06691735982894897,0.05,2000.0
100.0,312.0,15.600000000000001,0.15600000000000003,0.15600000000000003,0.008881413377821445,0.12375722825527191,0.0007419436587952077,1.0363593101501465,1.00650532174609,0.08065557479858398,0.05,2000.0
100.0,375.0,18.75,0.1875,0.1875,0.008228410966694355,0.12496696412563324,-0.0007690632482990623,1.031106948852539,1.0093784967571953,0.09684263914823532,0.05,2000.0
100.0,438.0,21.900000000000002,0.21900000000000003,0.21900000000000003,0.008262790739536285,0.12219874560832977,-0.006828455254435539,1.0388108491897583,1.0133354493232576,0.11547921597957611,0.05,2000.0
100.0,500.0,25.0,0.25,0.25,0.009025892242789268,0.12202240526676178,0.0005571098299697042,1.04197096824646,1.018604069565975,0.13639673590660095,0.05,2000.0
100.0,562.0,28.1,0.281,0.281,0.008119750767946243,0.1212528645992279,-0.006616403814405203,1.0399503707885742,1.0256098369509596,0.16003073751926422,0.05,2000.0
100.0,625.0,31.25,0.3125,0.3125,0.008329465053975582,0.11745476722717285,-0.010277850553393364,1.0551526546478271,1.0349544081532918,0.18696098029613495,0.05,2000.0
100.0,688.0,34.4,0.344,0.344,0.008915350772440434,0.11701430380344391,0.0018287855200469494,1.0579807758331299,1.0470551347115924,0.21692195534706116,0.05,2000.0
100.0,750.0,37.5,0.375,0.375,0.008642282336950302,0.11240217834711075,0.010616468265652657,1.0754352807998657,1.062203513871012,0.24940632283687592,0.05,2000.0
100.0,812.0,40.6,0.406,0.406,0.008392181247472763,0.10574889928102493,-0.006700365804135799,1.1036949157714844,1.081137502845615,0.2848464548587799,0.05,2000.0
100.0,875.0,43.75,0.4375,0.4375,0.008639533072710037,0.10349608957767487,0.011533442884683609,1.1112123727798462,1.104844855832419,0.3237975537776947,0.05,2000.0
100.0,938.0,46.900000000000006,0.4690000000000001,0.4690000000000001,0.009090625680983067,0.09028367698192596,-0.009046085178852081,1.168338418006897,1.1336234990036909,0.36554548144340515,0.05,2000.0
100.0,1000.0,50.0,0.5,0.5,0.007989220321178436,0.08624761551618576,0.004392607137560844,1.1849675178527832,1.1673781204663136,0.4091187119483948,0.05,2000.0
100.0,1062.0,53.1,0.531,0.531,0.008785400539636612,0.07822773605585098,0.010836970061063766,1.222131609916687,1.2068774234649027,0.4548377990722656,0.05,2000.0
100.0,1125.0,56.25,0.5625,0.5625,0.008568691089749336,0.0704602524638176,0.005623753182590008,1.2597694396972656,1.25308661823955,0.5030771493911743,0.05,2000.0
100.0,1188.0,59.400000000000006,0.5940000000000001,0.5940000000000001,0.009024211205542088,0.06053513288497925,-0.00566828902810812,1.3194541931152344,1.3053763408375154,0.5526086688041687,0.05,2000.0
100.0,1250.0,62.5,0.625,0.625,0.009189832955598831,0.05154065787792206,-0.005587620195001364,1.383681058883667,1.3624590427755017,0.6020457148551941,0.05,2000.0
100.0,1312.0,65.60000000000001,0.6560000000000001,0.6560000000000001,0.009367573074996471,0.044297486543655396,-0.009613649919629097,1.4325813055038452,1.4245034929519989,0.6515393257141113,0.05,2000.0
100.0,1375.0,68.75,0.6875,0.6875,0.008910376578569412,0.03566078841686249,0.0019487054087221622,1.503858208656311,1.4916633965913206,0.7011871337890625,0.05,2000.0
100.0,1438.0,71.9,0.7190000000000001,0.7190000000000001,0.008882381021976471,0.029353300109505653,0.004482661839574575,1.557786464691162,1.5616485422813788,0.7494321465492249,0.05,2000.0
100.0,1500.0,75.0,0.75,0.75,0.00986706092953682,0.022982381284236908,-0.005899872165173292,1.6505180597305298,1.6316783055950168,0.7947819232940674,0.05,2000.0
100.0,1562.0,78.10000000000001,0.7810000000000001,0.7810000000000001,0.009411852806806564,0.018428467214107513,-0.01394959818571806,1.7018815279006958,1.701013004183583,0.8372651934623718,0.05,2000.0
100.0,1625.0,81.25,0.8125,0.8125,0.009547078981995583,0.014998259954154491,0.0022114403545856476,1.7710576057434082,1.768675812331626,0.8767415881156921,0.05,2000.0
100.0,1688.0,84.4,0.8440000000000001,0.8440000000000001,0.008971908129751682,0.011952840723097324,-0.013839812949299812,1.829520583152771,1.8313243989573529,0.9117699265480042,0.05,2000.0
100.0,1750.0,87.5,0.875,0.875,0.010577681474387646,0.01171139720827341,-0.004669493995606899,1.897542953491211,1.8859509386361744,0.941249668598175,0.05,2000.0
100.0,1812.0,90.60000000000001,0.9060000000000001,0.9060000000000001,0.010537185706198215,0.010877979919314384,-0.012803550809621811,1.9500032663345337,1.9316387832999595,0.9652143716812134,0.05,2000.0
100.0,1875.0,93.75,0.9375,0.9375,0.010072918608784676,0.010154765099287033,-0.024587184190750122,1.9759734869003296,1.967153142956704,0.9834394454956055,0.05,2000.0
100.0,1938.0,96.9,0.9690000000000001,0.9690000000000001,0.00931230653077364,0.009281188249588013,-0.005619406700134277,2.0227742195129395,1.9902686560801612,0.9951224327087402,0.05,2000.0
100.0,2000.0,100.0,1.0,1.0,0.010041818022727966,0.010041818022727966,-0.003481797408312559,2.0200307369232178,2.0,1.0,0.05,2000.0
200.0,0.0,0.0,0.0,0.0,0.00719988951459527,0.13120339810848236,-0.005492932163178921,1.0045541524887085,1.000867409211597,0.02945181168615818,0.05,4000.0
200.0,125.0,6.25,0.03125,0.03125,0.008681481704115868,0.12781378626823425,0.0025255789514631033,1.0202895402908325,1.0013343820554674,0.03652919456362724,0.05,4000.0
200.0,250.0,12.5,0.0625,0.0625,0.00882520992308855,0.12243317067623138,-0.0014286505756899714,1.0394928455352783,1.0020250752634843,0.0450008362531662,0.05,4000.0
200.0,375.0,18.75,0.09375,0.09375,0.009102500975131989,0.1250682771205902,-0.010272369720041752,1.0289523601531982,1.003031846375344,0.05506220459938049,0.05,4000.0
200.0,500.0,25.0,0.125,0.125,0.00868141558021307,0.12335874140262604,0.0019374135881662369,1.0350464582443237,1.004477933046477,0.06691735982894897,0.05,4000.0
200.0,625.0,31.25,0.15625,0.15625,0.00774479890242219,0.12513303756713867,-0.0028406272176653147,1.0277215242385864,1.0065245886136283,0.08077492564916611,0.05,4000.0
200.0,750.0,37.5,0.1875,0.1875,0.007987278513610363,0.11772167682647705,0.0003477593418210745,1.0508416891098022,1.0093784967571953,0.09684263914823532,0.05,4000.0
