r,completed_steps,s,u,t,kl_to_path,kl_to_target,mean_x1,mean_x2,var_x1,var_x2,mean_guidance,eta,n_steps,wall_clock_sec,lambda_guidance
20,200000.0,20.0,1.0,1.0,0.021889515221118927,0.021889515221118927,-0.04228462651371956,0.21231594681739807,0.5275288820266724,0.21457697451114655,20.641260147094727,0.0001,200000,93.86150120059028,0.1
60,600000.0,60.0,1.0,1.0,0.02169416844844818,0.02169416844844818,-0.044475819915533066,0.21472282707691193,0.5236431956291199,0.21410781145095825,20.6343936920166,0.0001,600000,267.67780862003565,0.1
80,800000.0,80.0,1.0,1.0,0.021737366914749146,0.021737366914749146,-0.0428401418030262,0.21363984048366547,0.5222151279449463,0.21346956491470337,20.63130760192871,0.0001,800000,382.3826861246489,0.1
100,1000000.0,100.0,1.0,1.0,0.021058544516563416,0.021058544516563416,-0.04540671780705452,0.216364324092865,0.5206634998321533,0.21428658068180084,20.629323959350586,0.0001,1000000,459.50796025572345,0.1
1,10000.0,1.0,1.0,1.0,0.17810437083244324,0.17810437083244324,-0.005517097190022469,0.10612298548221588,1.2896884679794312,0.5357927083969116,5.608234882354736,0.0001,10000,4.264238857198507,0.4
2,20000.0,2.0,1.0,1.0,0.09710483253002167,0.09710483253002167,-0.014140074141323566,0.12002509832382202,1.6289396286010742,0.520840585231781,5.7277302742004395,0.0001,20000,8.489704634994268,0.4
4,40000.0,4.0,1.0,1.0,0.062466755509376526,0.062466755509376526,-0.021085502579808235,0.1224236860871315,1.9495183229446411,0.5264531373977661,5.849465370178223,0.0001,40000,16.946823957841843,0.4
6,60000.0,6.0,1.0,1.0,0.05676708370447159,0.05676708370447159,-0.024280795827507973,0.12388276308774948,2.07218337059021,0.5278581380844116,5.894827365875244,0.0001,60000,25.43399377912283,0.4
8,80000.0,8.0,1.0,1.0,0.056847937405109406,0.056847937405109406,-0.018951093778014183,0.12562106549739838,2.1358141899108887,0.525438129901886,5.917741298675537,0.0001,80000,33.936319881118834,0.4
10,100000.0,10.0,1.0,1.0,0.055247269570827484,0.055247269570827484,-0.021574176847934723,0.12713980674743652,2.1723573207855225,0.5263031125068665,5.930481910705566,0.0001,100000,42.425982107874006,0.4
